FETAL_FRAC,CHR13_SENSITIVITY,CHR13_SPECIFICITY,CHR18_SENSITIVITY,CHR18_SPECIFICITY,CHR21_SENSITIVITY,CHR21_SPECIFICITY
0.001,0.0054,0.9976,0.0051,0.9981,0.0038,0.9983
0.002,0.0152,0.9988,0.011,0.9986,0.0054,0.9983
0.003,0.0359,0.9983,0.0236,0.9988,0.0124,0.9982
0.004,0.0692,0.9979,0.0424,0.9987,0.0234,0.9983
0.005,0.1298,0.9984,0.0731,0.9981,0.0397,0.9989
0.006,0.2337,0.9981,0.1158,0.9982,0.0542,0.9989
0.007,0.343,0.999,0.1859,0.9991,0.0803,0.9989
0.008,0.4812,0.9991,0.2719,0.9989,0.1162,0.9986
0.009,0.6231,0.9981,0.3628,0.9991,0.1649,0.9994
0.01,0.7404,0.9982,0.468,0.9988,0.2131,0.9991
0.011,0.841,0.9989,0.5798,0.9985,0.2647,0.9997
0.012,0.9117,0.9991,0.6783,0.9994,0.3439,0.9998
0.013,0.9524,0.9991,0.7588,0.999,0.4111,0.9997
0.014,0.9757,0.9986,0.8317,0.9991,0.4814,0.9995
0.015,0.9893,0.9989,0.8891,0.9991,0.5413,0.9997
0.016,0.9962,0.9983,0.9161,0.9991,0.616,0.9997
0.017,0.9979,0.9986,0.9487,0.9996,0.6758,0.9997
0.018,0.999,0.9991,0.9675,0.9997,0.7198,1.0
0.019,0.9997,0.999,0.9787,0.9991,0.7656,1.0
0.02,0.9999,0.999,0.9854,0.9998,0.8054,0.9995
0.021,0.9997,0.9984,0.9917,0.9994,0.8457,0.9999
0.022,1.0,0.9986,0.994,0.9996,0.8651,0.9995
0.023,1.0,0.9991,0.9955,0.9998,0.8877,0.9999
0.024,1.0,0.9993,0.9972,0.9995,0.9114,0.9999
0.025,1.0,0.9992,0.9977,0.9997,0.9246,1.0
0.026,1.0,0.9987,0.9981,0.9999,0.9366,1.0
0.027,1.0,0.9993,0.9986,0.9991,0.949,0.9999
0.028,1.0,0.9988,0.9995,0.9994,0.9575,0.9998
0.029,1.0,0.9993,0.9995,0.9998,0.9654,1.0
0.03,1.0,0.9987,0.9994,0.9995,0.9682,0.9999
0.031,1.0,0.9993,0.9997,0.9995,0.974,0.9999
0.032,1.0,0.9987,0.9998,0.9995,0.9752,1.0
0.033,1.0,0.9994,0.9998,0.9996,0.9793,1.0
0.034,1.0,0.9987,0.9999,0.9995,0.9821,1.0
0.035,1.0,0.9987,1.0,0.9996,0.9838,0.9999
0.036,1.0,0.9988,0.9998,0.9997,0.9859,1.0
0.037,1.0,0.9986,1.0,0.9996,0.9859,1.0
0.038,1.0,0.9988,1.0,0.9998,0.9885,1.0
0.039,1.0,0.9979,1.0,0.9996,0.9914,0.9998
0.04,1.0,0.9987,1.0,0.9997,0.9906,1.0
