FETAL_FRAC,CHR13_SENSITIVITY,CHR13_SPECIFICITY,CHR18_SENSITIVITY,CHR18_SPECIFICITY,CHR21_SENSITIVITY,CHR21_SPECIFICITY
0.001,0.0036,0.9984,0.0051,0.9979,0.0041,0.999
0.002,0.0103,0.9981,0.0081,0.998,0.0052,0.9975
0.003,0.0239,0.9981,0.015,0.9986,0.0112,0.9983
0.004,0.0435,0.9988,0.0239,0.9978,0.0174,0.9983
0.005,0.0802,0.9984,0.0484,0.9972,0.0261,0.9983
0.006,0.1411,0.9976,0.0765,0.9982,0.0377,0.9985
0.007,0.2132,0.9986,0.1157,0.9986,0.0508,0.9983
0.008,0.3142,0.9979,0.1684,0.9984,0.0733,0.9992
0.009,0.4309,0.9989,0.2399,0.9994,0.0991,0.9985
0.01,0.5454,0.9987,0.3205,0.9989,0.1412,0.9994
0.011,0.6624,0.9988,0.4044,0.9995,0.1774,0.9988
0.012,0.7611,0.9986,0.4943,0.9988,0.2277,0.9997
0.013,0.8366,0.9987,0.5791,0.9994,0.2766,0.9994
0.014,0.9019,0.9989,0.6574,0.9987,0.3366,0.9996
0.015,0.9412,0.9984,0.7354,0.9986,0.3881,0.9998
0.016,0.9664,0.9986,0.7981,0.999,0.4513,0.9998
0.017,0.9833,0.9988,0.8515,0.9997,0.5087,0.9994
0.018,0.9895,0.9991,0.9023,0.9996,0.5659,0.9996
0.019,0.9958,0.9991,0.922,0.999,0.6136,0.9994
0.02,0.9985,0.9984,0.9492,0.9994,0.6618,0.9996
0.021,0.9992,0.999,0.9657,0.9995,0.7155,0.9997
0.022,0.9996,0.9991,0.974,0.9998,0.7574,1.0
0.023,0.9998,0.9995,0.9822,0.9994,0.7882,0.9998
0.024,0.9997,0.9988,0.9888,0.9996,0.8166,0.9999
0.025,1.0,0.9989,0.9912,0.9994,0.8473,0.9999
0.026,1.0,0.9992,0.9952,0.9997,0.8647,0.9997
0.027,1.0,0.9986,0.9954,0.9995,0.8862,0.9999
0.028,1.0,0.9987,0.9964,0.9992,0.8997,0.9999
0.029,1.0,0.9989,0.9981,0.9996,0.9248,1.0
0.03,1.0,0.9983,0.9987,0.9996,0.929,0.9998
0.031,1.0,0.999,0.9989,0.9996,0.9427,0.9998
0.032,1.0,0.9984,0.999,0.9998,0.9493,1.0
0.033,1.0,0.9987,0.9993,0.9994,0.9567,0.9998
0.034,1.0,0.9992,0.9994,0.9994,0.9575,0.9997
0.035,1.0,0.9988,0.9993,0.9989,0.9643,0.9998
0.036,1.0,0.9987,0.9999,0.9996,0.9686,1.0
0.037,0.9999,0.9989,0.9996,0.9998,0.973,0.9999
0.038,1.0,0.9989,1.0,0.9994,0.9764,0.9999
0.039,1.0,0.9993,0.9998,0.9994,0.9821,0.9999
0.04,1.0,0.9988,0.9999,0.9996,0.9833,0.9999
