FETAL_FRAC,CHR13_SENSITIVITY,CHR13_SPECIFICITY,CHR18_SENSITIVITY,CHR18_SPECIFICITY,CHR21_SENSITIVITY,CHR21_SPECIFICITY
0.001,0.0022,0.9973,0.0027,0.9982,0.0024,0.9987
0.002,0.005,0.9982,0.0049,0.9983,0.0047,0.9983
0.003,0.012,0.9981,0.0082,0.9982,0.0049,0.9984
0.004,0.0185,0.9979,0.0126,0.9985,0.0072,0.9984
0.005,0.0272,0.9981,0.019,0.9981,0.009,0.9984
0.006,0.0457,0.9983,0.0292,0.9973,0.0163,0.9988
0.007,0.0645,0.9984,0.0396,0.9979,0.0216,0.9976
0.008,0.0995,0.9981,0.0561,0.9987,0.0269,0.998
0.009,0.1344,0.9988,0.0764,0.9975,0.0366,0.9988
0.01,0.1875,0.9982,0.0965,0.9986,0.0473,0.9983
0.011,0.2464,0.9978,0.1287,0.9983,0.0587,0.9983
0.012,0.3111,0.9989,0.1717,0.9982,0.0787,0.9985
0.013,0.3792,0.9986,0.2079,0.9987,0.095,0.9979
0.014,0.4576,0.9984,0.2483,0.999,0.1095,0.9989
0.015,0.537,0.998,0.3075,0.999,0.1327,0.9992
0.016,0.6088,0.9979,0.369,0.9987,0.1631,0.9989
0.017,0.6802,0.9984,0.4226,0.9986,0.1834,0.9992
0.018,0.7469,0.9989,0.4759,0.9986,0.2167,0.9993
0.019,0.8025,0.9983,0.5357,0.9993,0.2468,0.9995
0.02,0.8488,0.9991,0.5962,0.9989,0.2905,0.9992
0.021,0.8934,0.9986,0.6593,0.9988,0.3259,0.9991
0.022,0.9257,0.9984,0.7008,0.999,0.3576,0.9993
0.023,0.9451,0.9983,0.7387,0.9992,0.3923,0.9995
0.024,0.9619,0.9988,0.7924,0.9989,0.447,0.9995
0.025,0.9791,0.9988,0.8321,0.9992,0.4853,0.9995
0.026,0.9838,0.999,0.8694,0.9996,0.519,0.9998
0.027,0.9899,0.9986,0.8872,0.9995,0.5501,0.9996
0.028,0.9934,0.9988,0.9112,0.9996,0.579,0.9999
0.029,0.9956,0.999,0.9306,0.9992,0.6217,0.9997
0.03,0.9972,0.9992,0.9403,0.9994,0.6553,0.9998
0.031,0.9987,0.9982,0.9572,0.9994,0.6867,0.9998
0.032,0.9991,0.9987,0.9657,0.9994,0.7151,0.9999
0.033,0.9994,0.999,0.9725,0.9999,0.7413,0.9999
0.034,0.9998,0.9983,0.9795,0.9992,0.7677,0.9998
0.035,0.9998,0.9992,0.9849,0.9996,0.7886,1.0
0.036,0.9997,0.999,0.9874,0.9993,0.8144,0.9999
0.037,0.9996,0.9985,0.9898,0.9997,0.8287,0.9998
0.038,0.9999,0.9989,0.991,0.9997,0.8461,0.9997
0.039,1.0,0.999,0.9922,0.9991,0.8648,1.0
0.04,1.0,0.9983,0.9934,0.9996,0.8728,0.9999
