FETAL_FRAC,CHR13_SENSITIVITY,CHR13_SPECIFICITY,CHR18_SENSITIVITY,CHR18_SPECIFICITY,CHR21_SENSITIVITY,CHR21_SPECIFICITY
0.001,0.0048,0.9987,0.0039,0.9976,0.0037,0.9979
0.002,0.0105,0.9985,0.0086,0.998,0.0062,0.9975
0.003,0.0232,0.9979,0.0148,0.9983,0.0094,0.9993
0.004,0.0396,0.9969,0.028,0.9981,0.0154,0.9982
0.005,0.0783,0.9977,0.0423,0.9986,0.0225,0.9986
0.006,0.1257,0.9985,0.0749,0.9988,0.0349,0.9987
0.007,0.1934,0.9983,0.1003,0.9984,0.0499,0.9994
0.008,0.2881,0.9979,0.1502,0.9984,0.0691,0.9987
0.009,0.3966,0.9987,0.2192,0.9989,0.0968,0.9994
0.01,0.503,0.998,0.2882,0.999,0.1218,0.9989
0.011,0.6152,0.998,0.3642,0.9986,0.1584,0.9993
0.012,0.7179,0.9988,0.4555,0.9982,0.2087,0.9992
0.013,0.8065,0.9988,0.5409,0.9985,0.245,0.9997
0.014,0.8703,0.999,0.6196,0.9985,0.3008,0.9991
0.015,0.9203,0.9985,0.7044,0.9996,0.3527,0.9997
0.016,0.9565,0.9982,0.7587,0.9989,0.4084,0.9996
0.017,0.974,0.9985,0.8161,0.9986,0.4693,0.9996
0.018,0.9845,0.9987,0.8706,0.999,0.5232,0.9994
0.019,0.9916,0.9988,0.9,0.9993,0.5779,1.0
0.02,0.9976,0.9987,0.9372,0.9998,0.6236,0.9997
0.021,0.9981,0.9987,0.952,0.9995,0.672,0.9996
0.022,0.999,0.9985,0.9651,0.9997,0.7174,0.9999
0.023,0.9994,0.9988,0.977,0.9994,0.7543,0.9999
0.024,0.9997,0.9985,0.9825,0.9997,0.7928,0.9997
0.025,0.9999,0.9993,0.9888,0.9996,0.8182,0.9999
0.026,1.0,0.9987,0.9925,0.9994,0.8423,0.9999
0.027,0.9998,0.9993,0.9943,0.9996,0.8626,1.0
0.028,1.0,0.9994,0.9962,0.9993,0.8867,1.0
0.029,1.0,0.9994,0.9962,0.9995,0.901,0.9999
0.03,1.0,0.999,0.9967,0.9996,0.9199,0.9998
0.031,1.0,0.9986,0.9986,0.9996,0.9276,1.0
0.032,1.0,0.9992,0.9989,0.9996,0.9356,0.9998
0.033,1.0,0.9988,0.9992,0.9992,0.9438,1.0
0.034,1.0,0.9985,0.9992,0.9993,0.9581,0.9998
0.035,1.0,0.9988,0.9991,0.9996,0.9581,0.9998
0.036,1.0,0.999,0.9993,0.9998,0.9654,0.9999
0.037,1.0,0.9988,0.9996,0.9999,0.9673,0.9998
0.038,1.0,0.9989,0.9996,0.9997,0.9709,0.9999
0.039,1.0,0.9994,0.9998,0.9994,0.9753,1.0
0.04,1.0,0.9989,1.0,0.9998,0.9753,0.9999
